period,ly,lg_r,r,r10,e,lpsi,l_g_r_ratio,q,psigr,s,lg,rat,ratio,gr_ham,r_ham,r10_ham,e_ham,psi_ham,ratio_ham,q_ham,psigr_ham,s_ham,g_ham,rat_ham
1953-04-01,2.817681584,3.681527495,2.43,2.996666667,97.43333333,4.733378687,1.28345042,37.74893686,68.3528296,0.566666667,2.398077074,1.3065803871896975,1.5351998211046656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-07-01,2.812049791,3.643385103,2.286666667,2.916666667,97.26666667,4.735979126,1.266434928,35.49125982,68.3828174,0.63,2.376950175,1.2956332119938625,1.5327982644819216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-10-01,2.796793411,3.63521493,1.706666667,2.643333333,96.3,4.748083679,1.333230017,41.18252121,69.6341858,0.936666667,2.301984913,1.2997795674512194,1.5791654017673398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-01-01,2.791962336,3.646102425,1.226666667,2.44,94.73333333,4.751095703,1.351347911,45.62259401,68.685567,1.213333333,2.294754514,1.3059282276077238,1.588885609661339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-04-01,2.793065142,3.709270144,0.876666667,2.346666667,94.2,4.743844581,1.416937427,52.08505425,68.064,1.47,2.292332717,1.328028511839127,1.6181203175664487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-07-01,2.804329608,3.768383555,0.916666667,2.346666667,94.03333333,4.735162825,1.428888108,61.13668703,67.5,1.43,2.339495447,1.3437734081792,1.6107676378820497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-10-01,2.823697625,3.829076085,1.173333333,2.473333333,94.66666667,4.729306331,1.446663692,62.3939496,66.9950739,1.3,2.382412393,1.3560503260330505,1.607226396341198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-01-01,2.851861903,3.900031393,1.516666667,2.646666667,95.26666667,4.712301134,1.422401152,65.00572905,66.2686567,1.13,2.477630241,1.3675386556752218,1.5740974292539724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-04-01,2.867955719,3.91430041,1.853333333,2.763333333,95.6,4.714006654,1.377592262,76.14227893,66.4531159,0.91,2.536708148,1.364839904628946,1.5430629704430625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-07-01,2.881387072,3.892779022,2.25,2.946666667,95.9,4.717855807,1.340836971,82.53827967,66.7998858,0.696666667,2.551942051,1.3510087068232672,1.5254182674228756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-10-01,2.887367249,3.849913532,2.533333333,2.91,95.76666667,4.7207018,1.275090008,81.52841094,66.7132867,0.376666667,2.574823524,1.3333646883102122,1.4952145248460142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-01-01,2.88351497,3.824022048,2.56,2.9,95.96666667,4.739010281,1.2781771,87.7821286,67.2294492,0.34,2.545844948,1.3261668788908698,1.502064000796328,0.02326633475808748,0.5120173547855282,0.021183501650600345,1.621550926443021,-0.06994337771537573,-0.02833131165661862,33.539750686986665,-0.9899288662613799,-0.8656753917418085,9.448367899348975,0.039161670166091955
1956-04-01,2.891704203,3.818832577,2.866666667,3.083333333,95.8,4.747155741,1.280859207,80.40967726,67.3191952,0.216666667,2.537973371,1.3206166014622622,1.5046779531399581,-9.896021437381153,1.096354539333543,0.26602869900764414,1.5174309017246088,1.0640035616082955,-0.04216458174925308,19.8329403659857,-0.27602678795106783,-1.0897999610683424,8.93078841518875,0.0077876338251230415
1956-07-01,2.890816104,3.799749763,3.07,3.273333333,95.86666667,4.749824489,1.270746486,74.05174613,67.3387097,0.203333333,2.529003277,1.3144211275640518,1.5024692919763265,-16.593774264210825,1.2402533780854401,0.5020597327610523,1.6063764407330012,1.8316497433467305,-0.05228671873381763,5.393377262356594,0.2220157985763933,-0.9525799399885033,6.66244297742371,-0.007410605212770038
1956-10-01,2.907174247,3.78473494,3.466666667,3.473333333,95.86666667,4.749997538,1.265104854,83.55771665,67.3850197,0.006666667,2.519630086,1.3018603697062814,1.5020994395286007,-22.5206046900829,1.4511776571339876,0.6406867957936848,1.4741372662035275,2.330858053968843,-0.052168121083043584,13.310928718065895,0.7211326508983547,-1.011101017066527,3.1790642156281024,-0.021586550060322285
1957-01-01,2.913545603,3.770920164,3.39,3.403333333,96.06666667,4.741273269,1.266864696,73.58399077,67.1741935,0.013333333,2.504055469,1.2942718865004839,1.5059251724587097,-30.888937175752808,1.1114861452055211,0.4707435880773927,1.5179208734478493,2.6383815200214933,-0.03540873227076036,1.0997019200737128,1.151837700971754,-0.83664969519345,-5.340442622893882,-0.040397971425907064
1957-04-01,2.911317522,3.746959665,3.54,3.626666667,95.9,4.749054056,1.243967548,81.65178605,67.3605757,0.086666667,2.502992117,1.2870322926596942,1.4969921956809744,-29.83051067112448,1.0055472759192918,0.6286326112136016,1.320979124097562,3.8139094655089245,-0.022258719605607435,-0.121467025916985,1.2007085142020912,-0.6735888436960941,-10.144449660657617,-0.035632206549945034
1957-07-01,2.921062605,3.733685502,3.963333333,3.926666667,95.76666667,4.743069525,1.208036861,66.7735137,67.5165732,-0.036666667,2.525648641,1.2781942761545162,1.4783075687525928,-25.74336262207457,1.115456880812431,0.7627873766086251,1.0623012671352967,3.0186256371462328,-0.0316032884590185,-21.308679923772075,1.0277872033901616,-0.7483543385564686,-8.901909509950157,-0.023368551752142697
1957-10-01,2.910718899,3.732393821,3.586666667,3.633333333,95.06666667,4.750637561,1.286747885,66.76477648,67.8166838,0.046666667,2.445645936,1.2822927773211947,1.526138254953026,-21.091814857057088,0.5380255448661457,0.5013672585424174,0.3933989869337182,3.7502618194652726,0.04612843279649925,-21.07533977943595,1.3985366357444917,-0.5658393786532895,-21.718114970350566,-0.005571156063620464
1958-01-01,2.884409575,3.692273687,2.16,3.04,93.7,4.760993751,1.316438132,73.26849838,68.29653,0.88,2.375835555,1.2800795417550923,1.5540948022389538,-24.732319496358414,-0.8963388365650067,-0.12454999409738443,-1.0767384374951519,3.668159272564697,0.07642446055495555,-19.40160523406162,1.443878809288421,0.17268856445883152,-27.840770603096576,-0.013382351189578312
1958-04-01,2.890927159,3.695855068,1.35,2.923333333,92.63333333,4.749409049,1.340392935,80.89166181,67.7722643,1.573333333,2.355462133,1.2784324421644828,1.569057305664612,-26.13332163892972,-1.98949243211018,-0.4407904618677745,-2.1072453786116654,1.5858912157288962,0.09422585073108491,-5.1888237276713625,0.8117905819291025,0.8832689038699373,-30.158803948760493,-0.01369503431157404
1958-07-01,2.91381698,3.765446899,2.386666667,3.5,92.66666667,4.748551657,1.336052959,97.57133919,67.3808924,1.113333333,2.42939394,1.2922729618385298,1.549953194910826,-16.26774025884199,-1.0657324179113385,0.022703359919866273,-2.0810815149294797,1.1452227213720079,0.08789354615986711,17.199921517231857,0.4164505138030279,0.2960377006146946,-23.23649727955508,0.009556837900267512
1958-10-01,2.936937227,3.864470076,3.193333333,3.8,93.63333333,4.731371026,1.353246117,105.4118086,66.4794922,0.606666667,2.511223958,1.3158163683149091,1.5388791046250443,-4.98039938424677,-0.5998601043541312,0.18906240015765574,-1.1453359814430968,-0.8736731703103295,0.07469451899327129,17.870917722555546,-0.5273927736909201,-0.1051667017633302,-13.383400933002365,0.049340531685114764
1959-01-01,2.955951404,3.971423349,3.503333333,3.99,94.16666667,4.735276971,1.407166539,107.9923861,66.7143538,0.486666667,2.56425681,1.3435347223996517,1.5487619389416774,6.535949657511075,-0.16420043014476926,0.43863427953775824,-0.6691461536848209,-0.09744401890952048,0.08073530700007714,28.291223065707598,-0.1117591764782162,-0.30750523842630767,-6.685327130292551,0.07995014123185085
1959-04-01,2.978229998,4.005731904,3.916666667,4.256666667,94.9,4.731873319,1.366531727,115.2897659,66.1968577,0.34,2.639200177,1.3450042161585936,1.517782523246625,12.913770308332628,0.0627247290798798,0.44647821643421626,0.13660312745068381,-0.713776871701377,0.05724370762270947,28.29020480605469,-0.7798327191027283,-0.47764628328740005,0.8587387921490386,0.0846766816935498
